date,SVI,SGI
198201,-0.062273286,0.348556897
198202,-0.084332499,0.279084701
198203,-0.025977643,0.291340469
198204,-0.042434819,0.256114489
198205,0.036183666,0.272730623
198206,0.046362634,0.271116834
198207,-0.00346499,0.275135726
198208,0.007717979,0.282921529
198209,0.066481265,0.277474424
198210,0.313539972,0.28249593
198211,0.296641227,0.385008766
198212,0.086150226,0.371289961
198301,-0.078213009,0.264120928
198302,-0.16813905,0.236910191
198303,-0.280336505,0.165511067
198304,-0.425544731,0.135702819
198305,-0.377214816,0.111383975
198306,-0.336700018,0.132480555
198307,-0.255323772,0.127913526
198308,-0.042554859,0.137224124
198309,-0.119154185,0.134470299
198310,0.046125394,0.12296969
198311,0.177635225,0.154340196
198312,0.140468712,0.172862439
198401,0.091617142,0.169887905
198402,-0.056629629,0.09193007
198403,-0.114847516,0.094908795
198404,-0.105077358,0.140209474
198405,-0.087472075,0.119721175
198406,-0.123399387,0.113465357
198407,-0.116997667,0.110978042
198408,-0.085725655,0.115900954
198409,-0.006543733,0.1192732
198410,0.196478017,0.121280676
198411,0.297827143,0.140754878
198412,0.217738805,0.162211459
198501,0.079434028,0.078391848
198502,-0.084505954,0.117927406
198503,-0.088782781,0.125513499
198504,-0.088290394,0.109927173
198505,-0.043806002,0.086678651
198506,0.028283796,0.090575278
198507,0.064831464,0.086705061
198508,0.087422079,0.085458765
198509,0.126771681,0.080066312
198510,0.199159312,0.082634934
198511,0.217917555,0.106767128
198512,0.122050003,0.079240192
198601,0.103955787,0.130988764
198602,0.084482141,0.105268344
198603,0.010516734,0.073989856
198604,-0.076643682,0.086043628
198605,0.018698342,0.115942449
198606,0.194839657,0.105422801
198607,0.25547958,0.124413842
198608,0.193330849,0.120420826
198609,0.291659833,0.123454121
198610,0.526812611,0.146151904
198611,0.511217395,0.259092311
198612,0.243509154,0.184373971
198701,0.06084252,0.128758952
198702,-0.087752986,0.036590789
198703,-0.193058694,0.085425911
198704,-0.372385119,0.041736053
198705,-0.440827685,0.015970523
198706,-0.364314839,0.007523809
198707,-0.261100416,0.002701291
198708,-0.197802157,0.004414871
198709,0.07876786,0.009246158
198710,0.199334522,0.058723336
198711,0.223847695,0.028518926
198712,0.287074889,0.02615738
198801,0.379823313,0.064581028
198802,0.356608919,0.045089831
198803,0.345636915,0.127939954
198804,0.254558028,0.125710922
198805,0.211197949,0.122556511
198806,0.186343792,0.109583965
198807,0.170429353,0.106257181
198808,0.142265165,0.107053129
198809,0.229704471,0.108033459
198810,0.258160747,0.110472961
198811,0.169884431,0.140997271
198812,0.056694365,0.075466928
198901,0.027265755,0.130852949
198902,-0.03442243,0.149324056
198903,-0.073133276,0.214384545
198904,-0.104783855,0.216903692
198905,0.033191791,0.272372618
198906,0.190073727,0.277925114
198907,0.307001487,0.281988575
198908,0.423076198,0.280186902
198909,0.475669513,0.276091939
198910,0.412801678,0.256631544
198911,0.230706076,0.234419636
198912,0.009661259,0.21838123
199001,0.034388515,0.168700046
199002,0.152681994,0.201322683
