timestep,ndvi,wtd
0,5729.66360972222,-4.85949392279006
1,5767.48740138889,-4.87237667654948
2,5863.36919930556,-4.85285564044074
3,5869.42064166667,-4.82059689167549
4,5648.69662569444,-4.84693795036157
5,5249.79746666667,-4.85451139930949
6,4903.14888888889,-4.85664315390735
7,4851.63145416667,-4.88226872898533
8,5091.98984375,-4.89868596248815
9,5429.51238819445,-4.93366189550944
10,5651.80640833333,-4.9367038284069
11,5688.30814444444,-4.90554698892087
12,5639.03077013889,-4.96412969393526
13,5729.56342152778,-4.97646822049525
14,5807.67632638889,-4.95130127144261
15,5831.99879583333,-4.9476628128179
16,5603.83005833333,-4.94266498541182
17,5182.07931527778,-4.93425886339493
18,4860.00310625,-4.94295056000966
19,4833.87545625,-4.983816631079
20,5051.685,-4.93765174951193
21,5443.32712222222,-4.96321246410544
22,5756.10093958333,-4.97355674705634
23,5833.2070625,-4.92834030854458
24,5704.19952222222,-4.92679772127482
25,5669.0035125,-4.90645279741682
26,5762.5498,-4.90405177776155
27,5801.10635416667,-4.92236052221086
28,5591.14088819444,-4.89144706463559
29,5135.83487847222,-4.88962278476062
30,4763.33442361111,-4.90460141587753
31,4781.05553888889,-4.90089424329176
32,5108.50465208333,-4.92064941864656
33,5502.87567083333,-4.90016120594873
34,5748.76350972222,-4.90111044504023
35,5792.19402916667,-4.88662333894357
36,5729.6417875,-4.90758213439021
37,5710.99634305556,-4.91403251488292
38,5770.09467847222,-4.87977618276426
39,5838.02974583333,-4.88251587286534
40,5721.54513125,-4.87459267756651
41,5426.08020486111,-4.85194452548166
42,5058.963925,-4.88235440056998
43,4926.22654722222,-4.86057081645596
44,5174.99446597222,-4.85273506557332
45,5543.98820902778,-4.87738868092409
46,5792.1212125,-4.84941932302278
47,5829.61618402778,-4.82784484801871
48,5737.86783888889,-4.83083817787157
49,5766.86449236111,-4.87421359925343
50,5840.4621,-4.89639266597704
51,5857.33831319445,-4.87802284215183
52,5687.44288819444,-4.86707209940782
53,5362.65928472222,-4.83650196875786
54,5050.09294930556,-4.85744309086971
55,4968.62301041667,-4.86708316479257
56,5210.79062152778,-4.90466809412218
57,5514.54301458333,-4.88887831301214
58,5723.14721388889,-4.85031025106751
59,5762.9316,-4.83301208472105
60,5694.74573333333,-4.83505804526939
61,5748.76371388889,-4.85013897063867
62,5833.66021666667,-4.90777078778986
63,5841.89247361111,-4.90076363036344
